name,description,icon_color,lat,long,pic_url,thumb_url
Louisiana State Capitol,"The Louisiana State Capitol is the seat of government for the U.S. state of Louisiana and is located in downtown Baton Rouge. The capitol houses the chambers for the Louisiana State Legislature, made up of the House of Representatives and the Senate, as well as the office of the Governor of Louisiana.",R,30.45704,-91.18736,https://lsu-its.maps.arcgis.com/sharing/rest/content/items/a186b4722a1e4896a651ac358adb431b/data,https://lsu-its.maps.arcgis.com/sharing/rest/content/items/a186b4722a1e4896a651ac358adb431b/data
Tiger Stadium,"Tiger Stadium, popularly known as Death Valley, is an outdoor stadium located in Baton Rouge, Louisiana on the campus of Louisiana State University. It is the home stadium of the LSU Tigers football team.",R,30.411944,-91.185556,https://lsu-its.maps.arcgis.com/sharing/rest/content/items/01ec6fbb9a704c7993dd48053a6501a0/data,https://lsu-its.maps.arcgis.com/sharing/rest/content/items/01ec6fbb9a704c7993dd48053a6501a0/data
Horace Wilkinson Bridge,The Horace Wilkinson Bridge is a cantilever bridge carrying Interstate 10 in Louisiana across the Mississippi River from Port Allen in West Baton Rouge Parish to Baton Rouge in East Baton Rouge Parish.,R,30.4395,-91.1965,https://lsu-its.maps.arcgis.com/sharing/rest/content/items/f6fe4b0d285f431f9e4b650658f2e412/data,https://lsu-its.maps.arcgis.com/sharing/rest/content/items/f6fe4b0d285f431f9e4b650658f2e412/data
USS Kidd,"USS Kidd (DD-661), a Fletcher-class destroyer, was the first ship of the United States Navy to be named after Rear Admiral Isaac C. Kidd, who died on the bridge of his flagship USS Arizona during the 1941 Japanese attack on Pearl Harbor. Admiral Kidd was the first US flag officer to die during World War II, and the first American admiral ever to be killed in action.",R,30.44431,-91.19151,https://lsu-its.maps.arcgis.com/sharing/rest/content/items/35992fb4cfa0413b973166327ef28e82/data,https://lsu-its.maps.arcgis.com/sharing/rest/content/items/35992fb4cfa0413b973166327ef28e82/data
